them i,15
then ",15
there ",15
there i,15
they 'll,15
they did,15
thinking of,15
this party,15
this year,15
tho i,15
thought so,15
to all,15
to school,15
too but,15
u got,15
u i,15
unless you,15
version of,15
was an,15
which ,,15
work at,15
working with,15
worried about,15
year old,15
yes it,15
yes ok,15
yes you,15
you call,15
you really,15
you you,15
your night,15
yup ,,15
! that,14
" Well,14
'll make,14
'm good,14
'm working,14
're a,14
's ?,14
's and,14
's at,14
's gon,14
's something,14
) I,14
, eh,14
, is,14
, maybe,14
- (,14
? me,14
? with,14
LOL ok,14
OH MY,14
a bf,14
a picture,14
a really,14
a shot,14
actually i,14
after you,14
all in,14
all you,14
alright ,,14
am a,14
and in,14
and tell,14
are so,14
as hell,14
at Penn,14
at like,14
back ",14
back into,14
be doing,14
be nice,14
been on,14
been to,14
better ",14
but what,14
but when,14
can come,14
can have,14
catch you,14
cause he,14
coming over,14
day and,14
dealing with,14
decided to,14
did not,14
do for,14
do to,14
else to,14
feel better,14
figured out,14
friend of,14
fun ",14
get him,14
get your,14
getting the,14
give him,14
give it,14
good ?,14
good what,14
got all,14
guess it,14
ha it,14
ha ok,14
ha yeah,14
happy with,14
has n't,14
have more,14
having to,14
he says,14
hear that,14
heard from,14
her ?,14
him for,14
how so,14
i are,14
i gave,14
i read,14
i tell,14
idea ",14
idea of,14
in ?,14
in front,14
interested in,14
is getting,14
is great,14
it how,14
it k,14
it like,14
it oh,14
its like,14
just think,14
k how,14
know who,14
lack of,14
link to,14
many people,14
me you,14
mee too,14
much as,14
my bed,14
my best,14
my email,14
my opinion,14
n't come,14
n't let,14
need anything,14
no he,14
nothing to,14
o ?,14
of work,14
oh ?,14
oh good,14
oh hey,14
ok if,14
one sec,14
only way,14
other night,14
out this,14
people do,14
people i,14
people in,14
place ?,14
really really,14
rid of,14
right you,14
saw the,14
shit that,14
so do,14
so good,14
so u,14
so when,14
splinter cell,14
sure that,14
taking a,14
that will,14
the game,14
the girls,14
the kids,14
the three,14
the user,14
them for,14
them out,14
these days,14
they should,14
they will,14
this thing,14
this way,14
to clean,14
to each,14
to one,14
to sell,14
to some,14
to write,14
told you,14
